교육청명,학교명,지역,학교유형,개설과목
서울특별시교육청,가락고등학교,서울특별시,일반고,"미적분D,음악,진로활동,동아시아사D,생명과학ⅡC,윤리와 사상C,생활과 윤리C,환경H,진로활동G,체육 탐구C,영어 독해와 작문J,확률과 통계A,여행지리D,영미 문학 읽기F,영미 문학 읽기G,화학ⅠB,사회·문화C,생활과 과학J,여행지리B,한국사1,공통영어1,통합사회1,세계지리A,진로활동E1,수학과제 탐구B,자율활동G10,생활과 과학D,영어 독해와 작문H,생명과학ⅠD,영어 독해와 작문G,동아리활동,단체 운동A,미술 감상과 비평,생명과학ⅠA,경제B,개인·대인 운동J,언어와 매체C,[보강]환경,영어 독해와 작문A,화법과 작문A,자율활동,지구과학ⅠD,환경F,진로활동C,음악 감상과 비평A,경제 수학D,영어 독해와 작문D,언어와 매체I,세계사C,사회·문화B,[보강]확률과 통계A,자율활동E,개학식,정보,공통수학1,사회문제 탐구B,물리학ⅠC,자율활동J10,음악 감상과 비평G,심화 국어C,화법과 작문G,확률과 통계F,세계지리C,미술 감상과 비평H,생명과학ⅠB,개인·대인 운동E,진로활동H,자율·자치활동,영어 독해와 작문I,한문ⅡE,음악 감상과 비평B,생활과 과학F,통합과학1,진로 영어B,진로활동I,여행지리G,논술E,문학,미술 감상과 비평J,과학과제 연구H,지구과학ⅡH,윤리와 사상B,생활과 윤리F,사회문제 탐구C,화법과 작문J,일본어ⅡF,논술G,[보강]확률과 통계D,논술J,생명과학ⅠC,영어 독해와 작문F,확률과 통계D,물리학ⅡA,여행지리J,자율활동H11,단체 운동I,단체 운동H,사회·문화D,한문,생활과 과학C,자율활동F10,단체 운동E,진로 영어A,생활과 과학B,화학ⅡI,화법과 작문D,개인·대인 운동G,심화 국어A,영미 문학 읽기I,체육1,공통국어1,화학ⅠC,영미 문학 읽기E,체육 탐구,생활과 과학A,미적분F,개인·대인 운동I,생명과학ⅡE,수학Ⅰ,고전과 윤리G,윤리와 사상D,한국지리F,생활과 윤리J,화법과 작문C,진로활동E2,생활과 윤리E,고전 읽기C,현대문학 감상J,기하C,화학ⅠA,수학과제 탐구H,윤리와 사상A,영어Ⅰ,확률과 통계J,과학탐구실험1,현대문학 감상B,진로 영어D,생명과학ⅡH,세계사D,일본어ⅡH,생활과 과학I,사회문제 탐구D5,과학과제 연구E,자율활동B10,체육 탐구B,사회·문화A,미술,한국지리G,지구과학ⅠB,진로활동A,음악 감상과 비평H,[보강]영어Ⅰ,한문ⅡJ,심화 국어D,현대문학 감상E,음악 감상과 비평E,화학ⅡG,사회·문화J,음악 감상과 비평C,화법과 작문H,자율활동F9,중국어Ⅰ,음악 감상과 비평F,스포츠 생활,언어와 매체B,고전 읽기B,영어 독해와 작문B,여행지리I,윤리와 사상C5,환경B,기하A,생활과 윤리A,자율활동C10,물리학ⅠD,자율활동H10,정치와 법A,사회·문화H,진로활동B,사회문제 탐구D,자율활동A10,사회문제 탐구D6,윤리와 사상,여행지리E,일본어ⅡC,기하B,일본어Ⅰ,진로활동J,동아시아사H,화법과 작문I,일본어ⅡA,미술 감상과 비평F,여행지리A,입학식,미적분C,세계지리B,생활과 윤리D,사회문제 탐구A,[보강]확률과 통계F,현대문학 감상F,고전과 윤리I,심화 국어B,확률과 통계G,확률과 통계E"
서울특별시교육청,가재울고등학교,서울특별시,일반고,"음악,진로활동,사회문제 탐구,세계사,진로활동진로B(기하),일본어Ⅱ,공통영어1,한국사1,통합사회1,[보강]과학탐구실험1,진로활동진로B(심화국어),수학과제 탐구수학과제탐구B,심화 영어 독해Ⅰ,동아리활동,미술 감상과 비평,진로활동진로A(기하),사회·문화사회문화C,확률과 통계확률과통계D,화학Ⅰ,진로활동진로A(영어권문화),자율활동,생명과학Ⅱ,정보,공통수학1,물리학Ⅰ,진로활동진로A(심화국어),언어와 매체,생활과 과학,경제,통합과학1,운동과 건강,문학,영어권 문화,세계지리,환경,확률과 통계확률과통계F,심화 국어,수학과제 탐구수학과제탐구G,수학과제 탐구,공통국어1,체육1,[보강]영어 독해와 작문,체육 탐구,한국지리,사회문제 탐구사회문제 탐구G,수학Ⅰ,화학Ⅱ,논술,영어Ⅰ,과학탐구실험1,생활과 윤리,영어 독해와 작문,[보강]생명과학Ⅰ,미술,사회·문화,동아시아사,지구과학Ⅰ,진로활동진로C(영어권문화),여행지리,중국어Ⅰ,화법과 작문,확률과 통계,중국어Ⅱ,확률과 통계확률과통계E,미적분,지구과학Ⅱ,진로활동진로D(기하),윤리와 사상,고전 읽기,일본어Ⅰ,물리학Ⅱ,확률과 통계확률과통계C,기하,사회·문화사회문화D,사회문제 탐구사회문제 탐구D,생명과학Ⅰ,인공지능 기초"
서울특별시교육청,강동고등학교,서울특별시,일반고,"영어 독해와 작문,생명과학Ⅰ_생명과학I B,지구과학Ⅰ_지구과학I A,음악,진로활동,심화 국어,사회문제 탐구,미술,사회·문화,인공지능 수학,물리학Ⅰ_물리학I A,개학식,공통수학1,정치와 법,화학Ⅰ_화학I C,화학Ⅰ_화학I A,일본어Ⅱ,언어와 매체,지구과학Ⅰ_지구과학I B,여행지리,공통영어1,한국사1,중국어Ⅰ,화법과 작문,확률과 통계,공통국어1,체육1,생활과 과학,통합사회1,미술 창작,한국지리,스포츠 생활,중국어Ⅱ,물리학Ⅰ_물리학I C,물리학Ⅱ_물리학ⅡA,생명과학Ⅱ_생명과학II B,미적분,지구과학Ⅱ,융합과학,생명과학Ⅱ_생명과학II A,생명과학Ⅰ_생명과학I A,수학Ⅰ,윤리와 사상,동아리활동,고전 읽기,화학Ⅱ_화학II B,통합과학1,[보강]확률과 통계,일본어Ⅰ,물리학Ⅰ_물리학I B,화학 실험,운동과 건강,문학,입학식,음악 연주,기하,논술,[보강]물리학Ⅰ_물리학I A,대체공휴일,프로그래밍,영어권 문화,영어Ⅰ,과학탐구실험1,고급 물리학,[보강]물리학Ⅱ_물리학ⅡA,자율활동,생활과 윤리,물리학Ⅱ_물리학ⅡB,화학Ⅰ_화학I B,인공지능 기초,생명과학Ⅰ_생명과학I C,진로와 직업,화학Ⅱ_화학II A,영미 문학 읽기"
서울특별시교육청,강서고등학교,서울특별시,일반고,"영어 독해와 작문,음악,인간과 심리,진로활동,사회문제 탐구,미술,사회·문화,경제 수학,심화 국어,인공지능 수학,세계사,공통수학1,물리학Ⅰ,정치와 법,지구과학Ⅰ,언어와 매체,일본어Ⅱ,한국사1,공통영어1,중국어Ⅰ,종교와 생활,화법과 작문,공통국어1,체육1,스포츠 생활,통합사회1,한국지리,과학사,확률과 통계,세계 문제와 미래 사회,미적분,지구과학Ⅱ,자율·자치활동,건축 일반,수학Ⅰ,심화 영어 독해Ⅰ,윤리와 사상,동아리활동,실용 경제,경제,통합과학1,일본어Ⅰ,화학Ⅰ,물리학Ⅱ,운동과 건강,문학,음악 연주,기하,논술,프로그래밍,영어Ⅰ,과학탐구실험1,진로 영어,자율활동,생활과 윤리,생명과학Ⅱ,생명과학Ⅰ,세계지리,인공지능 기초"
서울특별시교육청,강일고등학교,서울특별시,일반고,"영어 독해와 작문,고전과 윤리,음악,진로활동,미술,세계사,사회·문화,공통수학1,물리학Ⅰ,정치와 법,지구과학Ⅰ,일본어Ⅱ,언어와 매체,여행지리,한국사1,공통영어1,중국어Ⅰ,화법과 작문,확률과 통계,체육1,공통국어1,생활과 과학,통합사회1,스포츠 생활,중국어Ⅱ,한국지리,과학융합,미적분,지구과학Ⅱ,자율·자치활동,수학Ⅰ,인공지능과 미래사회,윤리와 사상,고전 읽기,경제,통합과학1,일본어Ⅰ,전공 기초 일본어,화학Ⅰ,고급 생명과학,물리학Ⅱ,운동과 건강,문학,스포츠 경기 실습,화학Ⅱ,논술,기하,영어Ⅰ,과학탐구실험1,자율활동,생활과 윤리,교육학,생명과학Ⅱ,생명과학Ⅰ,세계지리,환경,영미 문학 읽기"
서울특별시교육청,개포고등학교,서울특별시,일반고,"영어 독해와 작문,심리학,음악,진로활동,사회문제 탐구,경제 수학,미술,세계사,사회·문화,공통수학1,동아시아사,물리학Ⅰ,정치와 법,지구과학Ⅰ,언어와 매체,여행지리,공통영어1,한국사1,화법과 작문,확률과 통계,체육1,공통국어1,생활과 과학,통합사회1,한국지리,미술 창작,보건,체육 탐구,스포츠 생활,미적분,지구과학Ⅱ,자율·자치활동,수학Ⅰ,윤리와 사상,동아리활동,고전 읽기,미술 감상과 비평,통합과학1,일본어Ⅰ,화학Ⅰ,물리학Ⅱ,프랑스어Ⅰ,운동과 건강,문학,기하,화학Ⅱ,논술,[보강]음악 감상과 비평,영어권 문화,영어Ⅰ,과학탐구실험1,자율활동,생활과 윤리,생명과학Ⅱ,음악 감상과 비평,생명과학Ⅰ,세계지리,인공지능 기초,봉사활동,환경,영미 문학 읽기"
서울특별시교육청,건국대학교사범대학부속고등학교,서울특별시,일반고,"미적분D,음악,진로활동,여행지리C,확률과 통계A,여행지리D,영미 문학 읽기F,화학ⅠB,사회·문화C,공통영어1,한국사1,통합사회1,세계지리A,국제 경제G,체육,생활과 과학D,생명과학ⅠD,한국지리C,고전 읽기D,인공지능 기초A,동아리활동,미술 감상과 비평,미술 창작B,생명과학ⅠA①,생명과학ⅡA,일본어ⅡB,언어와 매체C,실용 영어C,과학과제 연구A,화법과 작문A,윤리와 사상G,생활과 과학G,화법과 작문F,자율활동,생활과 윤리B,지구과학ⅠD,실용 영어B,세계사C,확률과 통계C,사회·문화B,지구과학ⅠC,정보,사회문제 탐구B,공통수학1,정치와 법B,심화 국어C,생활과 과학E,화학ⅠD,국제 경제F,생활과 윤리D①,화법과 작문G,생명과학ⅡB,확률과 통계F,융합과학B,생명과학ⅠB,자율·자치활동,윤리와 사상F,생활과 과학F,통합과학1,미적분A,진로 영어B,여행지리G,운동과 건강,문학,화법과 작문B,사회·문화E,경제C,화학ⅡD,화법과 작문E,과학사C,사회문제 탐구C,사회문제 탐구A①,음악 감상과 비평,국제 경제E,사회문제 탐구A②,환경,생명과학ⅠC,중국어ⅡA,지구과학ⅡC,확률과 통계D,생활과 윤리C①,사회·문화F,확률과 통계B,사회·문화D,한국지리D,지구과학ⅠA,진로 영어A,인공지능 기초G,화법과 작문D,공통국어1,체육1,화학ⅠC,융합과학C,생활과 과학A,생명과학ⅡG,영어권 문화B,경제 수학F,물리학ⅡE,생명과학ⅡE,수학Ⅰ,물리학ⅡF,윤리와 사상D,화법과 작문C,윤리와 사상E,미적분B,화학ⅠA,인공지능 기초D,생활과 윤리C②,생활과 윤리D②,영어Ⅰ,현대문학 감상B,과학탐구실험1,정치와 법D,언어와 매체D,영어 독해와 작문,기하C②,언어와 매체A,일본어ⅡD,사회·문화A,미술,음악사A,지구과학ⅠB,세계사E,기하D,현대문학 감상G,심화 국어D,인공지능 기초E,언어와 매체E,사회문제 탐구D①,과학과제 연구B,화학ⅡF,미적분G,중국어Ⅰ,생명과학ⅠA②,사회·문화G,언어와 매체B,보건,고전 읽기B,기하C①,기하A,생활과 윤리A,사회문제 탐구D②,정치와 법A,실용 영어D,경제A,여행지리E,물리학ⅡG,여행지리F,인공지능 기초F,화학ⅡC,기하B,일본어Ⅰ,일본어ⅡA,인공지능 기초C,미적분C,세계지리B,확률과 통계G,확률과 통계E,인공지능 기초B"
서울특별시교육청,경기고등학교,서울특별시,일반고,"영어 독해와 작문,고전과 윤리,음악,진로활동,심화 국어,사회문제 탐구,미술,세계사,중국 문화,사회·문화,경제 수학,인공지능 수학,공통수학1,동아시아사,수학과제 탐구,독일어권 문화,물리학Ⅰ,정치와 법,지구과학Ⅰ,언어와 매체,여행지리,공통영어1,한국사1,중국어Ⅰ,화법과 작문,확률과 통계,체육1,대면식,공통국어1,통합사회1,생활과 과학,과학사,심화 영어Ⅰ,체육 탐구,한국지리,스포츠 생활,미적분,지구과학Ⅱ,자율·자치활동,논리학,융합과학,수학Ⅰ,정보과학,심화 영어 독해Ⅰ,윤리와 사상,미술 감상과 비평,[보강]자율·자치활동,경제,통합과학1,시업식,화학Ⅰ,물리학Ⅱ,운동과 건강,문학,입학식,기하,화학Ⅱ,논술,대체공휴일,영어권 문화,프로그래밍,영어Ⅰ,실용 수학,과학탐구실험1,독일어Ⅰ,자율활동,생활과 윤리,생명과학Ⅱ,음악 감상과 비평,생명과학Ⅰ,세계지리,봉사활동"
서울특별시교육청,경기기계공업고등학교,서울특별시,특성화고,"드론 기초,메이커 일반,음악,* 기구 개발계획 수립,전기·전자 일반,* 기구 설계 구상,* 정밀측정,* 가스텅스텐아크용접 재료준비,공통수학1,드론 제작,재료 일반,* 전자부품 소프트웨어 제작,* 기본 작업(선반가공),물리학Ⅰ,기계 제도,* 하드웨어 완성품 검증,기초 제도,인공지능 자율주행,* 출력용데이터확정,* 인장시험,전기・전자 기초,* 프레스금형 내구성검토,한국사,* 하드웨어 규격 결정,* 전자부품 소프트웨어 개발계획 수립,공통영어1,기계 기초 공작,* 자재관리,체육1,공통국어1,* 기본측정기 사용,통합사회1,미술 창작,전자 회로,* CNC선반 가공매뉴얼 프로그래밍,* 2D도면관리,전기 기기,* 고로 조업,* 프레스금형조립 기초도면해독,스마트 팩토리 시스템 관리,* 요소부품재질선정,* PLC제어 기본 모듈 프로그램 개발,수학Ⅰ,기본한국어1,반도체 기초,사물인터넷과 자동화,* 배선공사,* 3D형상모델링검토,* 2D도면작업,전기 회로,통합과학1,일본어Ⅰ,* PLC제어 특수 모듈 프로그램 개발,기계 일반,디지털 논리 회로,일본어,* 제선 연·원료처리 기본작업,진로와 직업,* 공조제어설비 설치,성공적인 직업생활,* 조명공사,운동과 건강,문학,항공기 일반,전기 설비,* 재료시험편 준비,* CNC선반 조작,영어Ⅰ,* 3D프린터HW설정,* 가스텅스텐아크용접 가용접 작업,* CNC선반조작,* 본체가공,자동화 설비,드론 일반,한국어,산업 설비"
서울특별시교육청,경기상업고등학교,서울특별시,특성화고,"대체휴일,마케팅과 광고,헌법,진로활동,체육 전공 실기 심화,* 베이스 메이크업,공통영어1,한국사1,* 전표관리,* 시나리오 창작,* 응용 드라이,비즈니스 영어,금융 일반,행정 서비스 일반,창업 일반,* 사무행정 회계처리,스포츠 생활2,* 피부미용 얼굴 매뉴얼테크닉,사진의 이해,스포츠 개론,자율활동,경찰학 기본 실습,통합사회,독도법,군대윤리,부사관실무론,개학식,공통수학1,사무 관리,* 레이어 헤어커트,* 자금관리,경기자료 분석,* 미용업 안전위생 관리,시나리오,* 원랭스 헤어커트,자율·자치활동,* 경기영상 자료분석,통합과학1,형법,국방체육,* 복리후생,문학,* 급여지급,개인·대인 운동,음악 감상과 비평,체육과 진로 탐구,* 회의 운영ㆍ지원,컴퓨터 그래픽,체육 전공 실기 기초,커뮤니케이션,* 문서관리,* 신체 피부미용 전면관리,* 두피·모발 관리,공통국어1,체육1,체육 탐구,* 헤어 아이론 스타일,* 고객 필요정보 제공,* 팁 위드 랩,미디어 콘텐츠 일반,수학Ⅰ,* 피부미용 피부분석,* 블로우 드라이 스타일,* 피부미용 필수기구 활용,* 프로그램 기획,* 패션 이미지 메이크업,세무 일반,영어Ⅰ,* 고객 관계 관리,상업 경제,토익연습일반,단체 운동,* 야외 촬영,* 학생선택,형사소송법,* 웨딩 메이크업,미용 안전・보건,중국어Ⅰ,스포츠 생활,* 네일 기본관리,군사영어,취업 실무 국어,* 문서작성,* 젤 네일,기업 자원 통합 관리,성공적인 직업생활,입학식,* 메이크업 일러스트레이션,연기,* 촬영,경찰학개론,태권도,봉사활동"
